,company,station,pollutant,year,month,emission,availability
207,Rourkela Steel Plant,CEMS-16,PM,2016,1,9715,0.2176299283154122
208,Rourkela Steel Plant,CEMS-2,PM,2016,1,7473,0.16740591397849464
209,Rourkela Steel Plant,CEMS-21,PM,2016,1,9053,0.20280017921146953
210,Rourkela Steel Plant,CEMS-23,PM,2016,1,5183,0.11610663082437275
211,Rourkela Steel Plant,CEMS-24,PM,2016,1,9846,0.22056451612903225
212,Rourkela Steel Plant,CEMS-3,PM,2016,1,4134,0.09260752688172043
213,Rourkela Steel Plant,CEMS-4,PM,2016,1,9149,0.20495071684587812
214,Rourkela Steel Plant,CEMS-5,PM,2016,1,9165,0.20530913978494625
215,Rourkela Steel Plant,CEMS-6,PM,2016,1,9799,0.2195116487455197
216,Rourkela Steel Plant,CEMS-7,PM,2016,1,9788,0.2192652329749104
217,Rourkela Steel Plant,CEMS-8,PM,2016,1,7834,0.17549283154121864
218,Rourkela Steel Plant,CEMS-9,PM,2016,1,9584,0.21469534050179212
219,Rungta Mines Limited,CEMS-1,PM,2016,1,1810,0.040546594982078854
220,Rungta Mines Limited,CEMS-2,PM,2016,1,2949,0.06606182795698924
221,Rungta Mines Limited,CEMS-3,PM,2016,1,4759,0.1066084229390681
222,Rungta Mines Limited,CEMS-4,PM,2016,1,1690,0.037858422939068104
223,Rungta Mines Limited,CEMS-5,PM,2016,1,192,0.004301075268817204
224,SMC Power Generation Limited,CEMS-1,PM,2016,1,9277,0.20781810035842294
225,Sakthi Sugars Limited,CEMS-1,PM,2016,1,25417,0.5693772401433692
226,Samaleswari Ferro Metals Ltd,CEMS-1,PM,2016,1,1,2.2401433691756272e-05
227,Scan Steels Limited (Unit-2),CEMS-1,PM,2016,1,9557,0.2140905017921147
228,Scan Steels Limited (Unit-2),CEMS-3,PM,2016,1,9715,0.2176299283154122
229,Scan Steels Limited (Unit-I),CEMS-1,PM,2016,1,7061,0.15817652329749105
230,Sesa Sterlite Ltd (IPP),CEMS-2,PM,2016,1,8925,0.19993279569892472
231,Sesa Sterlite Ltd (IPP),CEMS-3,PM,2016,1,8373,0.18756720430107526
232,Sesa Sterlite Ltd (IPP),CEMS-4,PM,2016,1,8759,0.19621415770609318
233,Sesa Sterlite Ltd (IPP),IPPUNIT1,PM,2016,1,9834,0.2202956989247312
234,Sesa Sterlite Ltd (Smelter and CPP),CEMS-11,PM,2016,1,9783,0.2191532258064516
235,Sesa Sterlite Ltd (Smelter and CPP),CEMS-12,PM,2016,1,9831,0.2202284946236559
236,Sesa Sterlite Ltd (Smelter and CPP),CEMS-13,PM,2016,1,10030,0.22468637992831542
237,Sesa Sterlite Ltd (Smelter and CPP),CEMS-14,PM,2016,1,9667,0.21655465949820787
238,Sesa Sterlite Ltd (Smelter and CPP),CEMS-15,PM,2016,1,9957,0.2230510752688172
239,Sesa Sterlite Ltd (Smelter and CPP),CEMS-16,PM,2016,1,10004,0.22410394265232975
240,Sesa Sterlite Ltd (Smelter and CPP),CEMS-2,PM,2016,1,8816,0.1974910394265233
241,Sesa Sterlite Ltd (Smelter and CPP),CEMS-3,PM,2016,1,7523,0.16852598566308244
242,Sesa Sterlite Ltd (Smelter and CPP),CEMS-4,PM,2016,1,9182,0.2056899641577061
243,Sesa Sterlite Ltd (Smelter and CPP),CEMS-5,PM,2016,1,9028,0.20224014336917562
244,Sesa Sterlite Ltd (Smelter and CPP),CEMS-6,PM,2016,1,8723,0.19540770609318997
245,Sesa Sterlite Ltd (Smelter and CPP),CEMS-7,PM,2016,1,9110,0.20407706093189965
246,Sesa Sterlite Ltd (Smelter and CPP),CEMS-8,PM,2016,1,8918,0.19977598566308244
247,Sesa Sterlite Ltd (Smelter and CPP),CEMS-9,PM,2016,1,8791,0.19693100358422938
248,Sesa Sterlite Ltd (Smelter and CPP),CPP,PM,2016,1,9277,0.20781810035842294
249,Shiv Mettalicks (P) Ltd,CEMS-1,PM,2016,1,5185,0.11615143369175628
250,Shree Hari Sponge Pvt. Ltd.,CEMS-1,PM,2016,1,9367,0.209834229390681
251,Shri Jagannath Steels and Power Ltd.,CEMS-1,PM,2016,1,23312,0.5222222222222223
252,Shyam Metalics and Energy Ltd,CEMS-1,PM,2016,1,8558,0.1917114695340502
253,Shyam Metalics and Energy Ltd,CEMS-2,PM,2016,1,8388,0.1879032258064516
254,Shyam Metalics and Energy Ltd,CEMS-3,PM,2016,1,8648,0.19372759856630825
255,Shyam Metalics and Energy Ltd,CEMS-4,PM,2016,1,8303,0.18599910394265232
256,Sumrit Metaliks Pvt. Ltd.,CEMS-1,PM,2016,1,56,0.0012544802867383513
257,Surendra Mining Industries (P) Ltd.,CEMS-1,PM,2016,1,3243,0.07264784946236559
258,Tata Sponge Iron Ltd,KILN1,PM,2016,1,884,0.019802867383512546
259,Tata Sponge Iron Ltd,KILN2,PM,2016,1,627,0.014045698924731183
260,Tata Sponge Iron Ltd,KILN3,PM,2016,1,874,0.01957885304659498
261,UltraTech Cement Ltd.,CEMS-1,PM,2016,1,4298,0.09628136200716846
262,UltraTech Cement Ltd.,CEMS-2,PM,2016,1,4282,0.09592293906810036
263,Utkal Metallics Limited,CEMS-1,PM,2016,1,9550,0.21393369175627241
